,Bcells,Malignant,Fibroblasts
0,0.09,0.82,0.09
1,0.04,0.88,0.08
2,0.06060606060606061,0.8888888888888888,0.050505050505050504
3,0.009900990099009901,0.8811881188118812,0.10891089108910891
4,0.01,0.93,0.06
5,0.1414141414141414,0.7878787878787878,0.0707070707070707
6,0.1,0.87,0.03
7,0.09,0.86,0.05
8,0.0707070707070707,0.8585858585858586,0.0707070707070707
9,0.13131313131313133,0.8282828282828283,0.04040404040404041
10,0.06,0.82,0.12
11,0.019801980198019802,0.7227722772277227,0.25742574257425743
12,0.06,0.87,0.07
13,0.05,0.93,0.02
14,0.0297029702970297,0.9108910891089109,0.0594059405940594
15,0.05,0.89,0.06
16,0.11,0.88,0.01
17,0.05,0.82,0.13
18,0.04950495049504951,0.9405940594059405,0.009900990099009901
19,0.04040404040404041,0.9191919191919192,0.04040404040404041
20,0.04040404040404041,0.9393939393939394,0.020202020202020204
21,0.0,0.9696969696969697,0.030303030303030304
22,0.07,0.92,0.01
23,0.02,0.96,0.02
24,0.05,0.92,0.03
25,0.06,0.89,0.05
26,0.16831683168316833,0.8118811881188119,0.019801980198019802
27,0.13,0.81,0.06
28,0.05,0.81,0.14
29,0.01,0.94,0.05
30,0.1,0.85,0.05
31,0.01,0.88,0.11
32,0.22,0.75,0.03
33,0.06,0.91,0.03
34,0.19,0.71,0.1
35,0.0,0.93,0.07
36,0.010101010101010102,0.9090909090909091,0.08080808080808081
37,0.01,0.89,0.1
38,0.11,0.81,0.08
39,0.01,0.83,0.16
40,0.020202020202020204,0.898989898989899,0.08080808080808081
41,0.0,0.898989898989899,0.10101010101010101
42,0.14,0.81,0.05
43,0.01,0.86,0.13
44,0.030303030303030304,0.9595959595959596,0.010101010101010102
45,0.0707070707070707,0.8686868686868687,0.06060606060606061
46,0.0,0.95,0.05
47,0.01,0.99,0.0
48,0.08,0.84,0.08
49,0.0,0.95,0.05
50,0.04,0.95,0.01
51,0.02,0.97,0.01
52,0.04,0.94,0.02
53,0.0,0.99,0.01
54,0.02,0.93,0.05
55,0.06,0.9,0.04
56,0.23,0.6,0.17
57,0.03,0.87,0.1
58,0.01,0.98,0.01
59,0.18811881188118812,0.7029702970297029,0.10891089108910891
60,0.0,0.75,0.25
61,0.0297029702970297,0.9405940594059405,0.0297029702970297
62,0.01,0.96,0.03
63,0.04,0.92,0.04
64,0.04,0.9,0.06
65,0.0,1.0,0.0
66,0.01,0.96,0.03
67,0.09,0.79,0.12
68,0.01,0.99,0.0
69,0.01,0.87,0.12
70,0.02,0.95,0.03
71,0.05,0.93,0.02
72,0.04,0.91,0.05
73,0.04,0.93,0.03
74,0.23,0.77,0.0
75,0.17,0.68,0.15
76,0.06930693069306931,0.8910891089108911,0.039603960396039604
77,0.07,0.92,0.01
78,0.16831683168316833,0.8118811881188119,0.019801980198019802
79,0.01,0.97,0.02
80,0.11,0.86,0.03
81,0.01,0.97,0.02
82,0.01,0.94,0.05
83,0.02,0.96,0.02
84,0.019801980198019802,0.9306930693069307,0.04950495049504951
85,0.05,0.91,0.04
86,0.01,0.9,0.09
87,0.030303030303030304,0.9595959595959596,0.010101010101010102
88,0.02,0.91,0.07
89,0.01,0.9,0.09
90,0.06,0.92,0.02
91,0.03,0.93,0.04
92,0.01,0.83,0.16
93,0.02,0.98,0.0
94,0.16,0.83,0.01
95,0.03,0.9,0.07
96,0.04,0.92,0.04
97,0.10891089108910891,0.8712871287128713,0.019801980198019802
98,0.15,0.63,0.22
99,0.0297029702970297,0.9405940594059405,0.0297029702970297
